day,0-18,19-50,51-70,>70
2020-04-01,1.4,25.8,36.9,35.9
2020-04-02,1.4,26,36.7,35.9
2020-04-03,1.4,26.2,36.4,36
2020-04-04,1.5,26.4,36.3,35.8
2020-04-05,1.5,26.5,36.1,35.9
2020-04-06,1.5,26.7,35.8,36
2020-04-07,1.6,26.7,35.6,36.1
2020-04-08,1.6,26.8,35.4,36.2
2020-04-09,1.6,26.9,35.2,36.3
2020-04-10,1.6,27,35,36.4
2020-04-11,1.6,27,34.9,36.5
2020-04-12,1.6,27,34.5,36.9
2020-04-13,1.6,27,34.2,37.2
2020-04-15,1.7,27,33.9,37.4
2020-04-17,1.7,27,33.5,37.8
2020-04-20,1.7,27.1,33.1,38.1
2020-04-22,1.8,27.2,32.8,38.2
2020-04-24,1.8,27.2,32.5,38.5
2020-04-27,1.8,27.4,31.8,39
2020-04-29,1.8,27.4,31.7,39.1
