day,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,>=90,Non noto
2020-04-01,0.0,0.0,0.1,0.4,0.8,2.2,7.8,21.3,30.3,27.9,1.1
2020-04-02,0.0,0.0,0.1,0.4,0.8,2.3,8.0,21.8,30.9,28.7,1.2
2020-04-03,0.1,0.0,0.1,0.4,0.8,2.3,8.0,22.0,30.7,28.0,0.6
2020-04-04,0.1,0.0,0.1,0.4,0.8,2.3,8.3,22.2,30.6,27.8,0.6
2020-04-05,0.1,0.0,0.1,0.4,0.8,2.3,8.5,22.6,30.8,27.4,0.6
2020-04-06,0.1,0.0,0.1,0.4,0.8,2.3,8.4,22.7,30.6,26.8,0.6
2020-04-07,0.1,0.0,0.1,0.4,0.8,2.4,8.8,23.2,31.2,27.0,1.2
2020-04-08,0.1,0.0,0.1,0.4,0.9,2.4,9.0,23.4,31.2,26.7,0.7
2020-04-09,0.1,0.0,0.1,0.4,0.9,2.4,9.0,23.4,31.0,26.1,0.7
2020-04-10,0.1,0.0,0.1,0.4,0.9,2.5,9.2,23.8,31.5,26.5,1.5
2020-04-11,0.1,0.0,0.1,0.4,0.9,2.5,9.2,23.8,31.6,26.3,0.8
2020-04-12,0.1,0.0,0.1,0.4,0.9,2.5,9.3,24.0,31.3,26.0,0.7
2020-04-13,0.1,0.0,0.1,0.4,0.9,2.5,9.3,23.8,30.5,25.0,0.7
2020-04-15,0.1,0.0,0.1,0.3,0.9,2.5,9.5,24.0,30.5,25.2,0.8
2020-04-17,0.2,0.0,0.1,0.3,0.9,2.6,9.6,24.3,30.5,25.1,0.9
2020-04-20,0.2,0.0,0.1,0.4,0.8,2.5,9.7,24.4,30.3,25.1,0.9
2020-04-22,0.2,0.0,0.1,0.4,0.9,2.6,9.9,24.7,30.8,25.9,1.8
2020-04-24,0.1,0.0,0.1,0.4,0.9,2.6,9.9,24.5,30.0,25.6,0.0
2020-04-27,0.1,0.0,0.1,0.3,0.9,2.5,9.8,24.1,28.9,24.6,0.0
2020-04-29,0.1,0.0,0.1,0.3,0.9,2.6,9.8,24.2,29.0,24.7,0.0
